# BUSCO version is: 5.2.2 
# The lineage dataset is: nematoda_odb10 (Creation date: 2020-08-05, number of genomes: 7, number of BUSCOs: 3131)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at6231	Complete	SUPER_X	4394246	4428103	+	9212.7	5689
4at6231	Complete	SUPER_2	3254427	3274203	-	6437.1	3434	https://www.orthodb.org/v10?query=4at6231	Dynein heavy chain, cytoplasmic
6at6231	Complete	SUPER_5	8226454	8253737	-	5304.0	3530
7at6231	Complete	SUPER_2	5779117	5791295	-	3656.3	2180
9at6231	Complete	SUPER_2	6857974	6886043	+	3966.7	3503
18at6231	Complete	SUPER_1	6168888	6192820	+	3473.4	2592	https://www.orthodb.org/v10?query=18at6231	Vacuolar protein sorting-associated protein 13
19at6231	Complete	SUPER_5	690773	716215	+	3321.1	2350	https://www.orthodb.org/v10?query=19at6231	putative scavenger receptor cysteine-rich domain protein
20at6231	Complete	SUPER_3	5525391	5553202	+	4026.7	3342
21at6231	Complete	SUPER_2	11230987	11250347	-	2228.8	1628
22at6231	Complete	SUPER_1	8808756	8851779	+	2997.5	2120
23at6231	Complete	SUPER_2	3736299	3765206	-	5396.8	3376
25at6231	Complete	SUPER_X	5785018	5804071	-	3073.7	2255
28at6231	Complete	SUPER_2	3100233	3113323	-	4318.4	2030
29at6231	Complete	SUPER_X	467910	486324	+	2537.5	1954
31at6231	Complete	SUPER_5	4340722	4359980	+	1740.0	2216
32at6231	Complete	SUPER_4	1363028	1378016	-	3841.5	2171
35at6231	Complete	SUPER_5	4745889	4760766	+	3624.3	1904
39at6231	Complete	SUPER_4	61138	73528	-	1758.5	1344
40at6231	Complete	SUPER_5	5620259	5633868	-	1734.4	1332
43at6231	Complete	SUPER_1	359272	375340	-	2505.4	1691	https://www.orthodb.org/v10?query=43at6231	CRE-RME-8 protein
45at6231	Missing
48at6231	Complete	SUPER_1	3219253	3233124	-	2575.9	1734
49at6231	Missing
55at6231	Complete	SUPER_2	6577084	6590948	-	2305.9	1618
57at6231	Complete	SUPER_1	4725350	4734264	+	961.8	773
60at6231	Complete	SUPER_X	9358534	9384443	-	4256.9	2904
63at6231	Complete	SUPER_X	4048567	4066609	-	3898.7	2579
65at6231	Complete	SUPER_3	594322	609252	-	1957.9	1473
67at6231	Missing
68at6231	Complete	SUPER_1	2231114	2245002	-	2027.3	1492	https://www.orthodb.org/v10?query=68at6231	Hypothetical protein CBG04027
72at6231	Complete	SUPER_2	10429364	10440308	+	2838.5	1437	https://www.orthodb.org/v10?query=72at6231	Clathrin heavy chain
74at6231	Complete	SUPER_1	7293753	7303601	+	2527.6	1357
76at6231	Complete	SUPER_1	3793008	3813022	+	2554.6	2274
86at6231	Complete	SUPER_X	1202949	1217624	+	2664.2	1656	https://www.orthodb.org/v10?query=86at6231	CRE-NMY-1 protein
88at6231	Complete	SUPER_5	6993036	7005342	+	2819.2	1651
90at6231	Complete	SUPER_4	8960353	8969837	+	2788.4	1477
91at6231	Complete	SUPER_X	4646907	4658641	+	2012.5	1478
92at6231	Complete	SUPER_2	4673815	4685569	-	2038.2	1389	https://www.orthodb.org/v10?query=92at6231	DEAD/DEAH box helicase
96at6231	Complete	SUPER_X	976596	988408	-	1708.1	1321	https://www.orthodb.org/v10?query=96at6231	Monensin-resistant homolog 2
97at6231	Complete	SUPER_5	6534635	6549235	+	2901.9	1805	https://www.orthodb.org/v10?query=97at6231	CRE-MYO-5 protein
100at6231	Complete	SUPER_3	2596092	2614407	-	2081.9	1871
101at6231	Complete	SUPER_4	7781716	7793348	+	1817.7	1372
107at6231	Complete	SUPER_3	7187029	7199089	+	2395.7	1343
112at6231	Complete	SUPER_4	6815705	6826723	-	1290.1	1435	https://www.orthodb.org/v10?query=112at6231	CRE-CRB-1 protein
117at6231	Complete	SUPER_1	2730933	2748129	-	1932.7	1517	https://www.orthodb.org/v10?query=117at6231	putative ATP-dependent Clp protease adaptor protein ClpS
119at6231	Complete	SUPER_2	7320684	7331551	+	1981.0	1185	https://www.orthodb.org/v10?query=119at6231	Dual oxidase 1
121at6231	Complete	SUPER_1	7752703	7783006	+	1646.4	1159
125at6231	Complete	SUPER_5	1236284	1254403	+	1896.6	1301
127at6231	Complete	SUPER_4	1118900	1127787	-	1570.5	1026
131at6231	Complete	SUPER_3	6582954	6591971	+	1101.3	1097
132at6231	Complete	SUPER_2	7640876	7656615	-	2202.6	1403
137at6231	Complete	SUPER_2	169788	182739	-	1956.9	1315
139at6231	Complete	SUPER_X	10298835	10311610	-	2385.4	1336
144at6231	Complete	SUPER_4	2872764	2881660	+	1294.0	1002
146at6231	Complete	SUPER_3	3914416	3926219	-	1643.9	1132
147at6231	Complete	SUPER_4	2019874	2034522	+	1293.3	1222
149at6231	Complete	SUPER_3	9726209	9737119	+	1321.3	865
151at6231	Complete	SUPER_2	11483442	11510242	-	3340.4	1995
152at6231	Complete	SUPER_3	4674918	4691282	-	1495.4	1105
161at6231	Complete	SUPER_3	9761962	9770915	+	1402.2	968
164at6231	Complete	SUPER_X	1794426	1806059	+	1629.8	1153	https://www.orthodb.org/v10?query=164at6231	CRE-PIKI-1 protein
165at6231	Complete	SUPER_X	2531284	2539538	+	1566.9	1034
166at6231	Complete	SUPER_2	2320109	2331549	+	1257.3	1142
170at6231	Complete	SUPER_X	3750399	3760599	-	1285.6	940
172at6231	Complete	SUPER_4	2613148	2622626	-	1581.5	1106
174at6231	Complete	SUPER_2	4834784	4847361	-	1510.5	1079
175at6231	Complete	SUPER_1	898847	924133	-	2021.0	1008
181at6231	Complete	SUPER_3	2044117	2054286	-	1202.2	950
183at6231	Complete	SUPER_2	4733108	4746516	+	1382.0	1321
184at6231	Complete	SUPER_3	87119	97976	+	1323.6	1180
185at6231	Complete	SUPER_2	7263145	7271573	+	2176.7	1166
189at6231	Complete	SUPER_4	2149210	2155330	-	545.2	637	https://www.orthodb.org/v10?query=189at6231	putative myosin head
190at6231	Complete	SUPER_3	336832	350175	-	1676.4	1092	https://www.orthodb.org/v10?query=190at6231	Protein-tyrosine phosphatase
194at6231	Complete	SUPER_5	2683196	2698093	-	1463.1	951
196at6231	Complete	SUPER_2	338126	347190	+	1443.6	865
197at6231	Complete	SUPER_3	4464434	4473374	+	1719.7	1054
198at6231	Complete	SUPER_4	6611767	6622085	-	1365.4	1065
199at6231	Complete	SUPER_2	10668832	10687007	+	1904.1	2023
201at6231	Complete	SUPER_3	4870318	4873006	-	334.2	268
204at6231	Complete	SUPER_2	7554905	7566610	+	1940.2	1309
210at6231	Complete	SUPER_2	8709246	8722680	-	1775.0	1481	https://www.orthodb.org/v10?query=210at6231	Histone-lysine N-methyltransferase
211at6231	Complete	SUPER_2	9690240	9704773	+	2111.1	1625
